ID,Park Name,Latitude,Longitude,Mailing_Address,Street1,Street2,City,State,Postal Code,Country,Location,Notes
1,Alcott Park,42.9778084,-88.03692,"3751 S 97th St, Milwaukee, WI 53228",3751 S 97th St,,Milwaukee,WI,53228,USA,"42.9778084, -88.03692",
2,Algonquin Park,43.1601617,-87.9735994,"7850 N 51st St, Brown Deer, WI 53223",7850 N 51st St,,Brown Deer,WI,53223,USA,"43.1601617, -87.9735994","This park, located in Brown Deer, Wisconsin, has historically been a neighborhood park. Located adjacent to Algonquin Elementary School (now demolished), Algonquin Park is the home of a playground and wading pool."
3,Armour Park,42.9709498,-87.9916565,"6105 W Norwich Ave, Milwaukee, WI 53220",6105 W Norwich Ave,,Milwaukee,WI,53220,USA,"42.9709498, -87.9916565",
4,Atkinson Park,43.0841299,-87.9231288,"936 W Atkinson Ave, Milwaukee, WI 53206",936 W Atkinson Ave,,Milwaukee,WI,53206,USA,"43.0841299, -87.9231288",
5,Back Bay Park,43.055904,-87.8815974,"2315 E Back Bay, Milwaukee, WI 53202",2315 E Back Bay,,Milwaukee,WI,53202,USA,"43.055904, -87.8815974",Overlooks Lake Michigan
6,Baran Park,42.999924,-87.9132539,"2600 S Chase Ave, Milwaukee, WI 53207",2600 S Chase Ave,,Milwaukee,WI,53207,USA,"42.999924, -87.9132539","Baran Park has primarily been a baseball park, housing several ball diamonds. Nestled between the freeway and the neighborhoods of Bay View, Baran Park has provided a quiet island adjacent to several highly populated areas on Milwaukee's south side."
7,Barnard Park,42.957592,-87.9564699,"3300 W Barnard Ave, Greenfield, WI 53221",3300 W Barnard Ave,,Greenfield,WI,53221,USA,"42.957592, -87.9564699",Adjacent to Greenfield Middle School
8,Bay View Park,42.9841815,-87.8663304,"3120 S Lake Dr, Milwaukee, WI 53207",3120 S Lake Dr,,Milwaukee,WI,53207,USA,"42.9841815, -87.8663304",Bay View Park along the Oak Leaf Trail
9,Beckum Park,43.05622139,-87.92336623,"900 W Brown St, Milwaukee, MI 53205",900 W Brown St,,Milwaukee,MI,53205,USA,"43.0562213915324, -87.9233662333407",
10,Bender Park,42.871322,-87.8501265,"4503 E Ryan Rd, Oak Creek, WI 53154",4503 E Ryan Rd,,Oak Creek,WI,53154,USA,"42.871322, -87.8501265",
11,Big Bay Park,43.1078233,-87.8892807,"5000 N Lake Dr, Whitefish Bay, WI 53217",5000 N Lake Dr,,Whitefish Bay,WI,53217,USA,"43.1078233, -87.8892807",
12,Bradford Park,43.0609675,-87.8748764,"2400 N Lincoln Memorial Dr, Milwaukee, WI 53211",2400 N Lincoln Memorial Dr,,Milwaukee,WI,53211,USA,"43.0609675, -87.8748764",Beach volleyball courts along Lake Michigan
13,Brown Deer Park,43.15853736,-87.95168555,"7835 N Green Bay Ave, Milwaukee, WI 53209",7835 N Green Bay Ave,,Milwaukee,WI,53209,USA,"43.158537357595, -87.9516855531316","Location of the Brown Deer Park Golf Course and since 1994, the U.S. Bank Championship. Golf course designed by George Hansen in 1929."
14,Burns Commons Park,43.0472696,-87.8965125,"1300 N Franklin Pl, Milwaukee, WI 53202",1300 N Franklin Pl,,Milwaukee,WI,53202,USA,"43.0472696, -87.8965125","The original site (called ""First Ward Triangle"") was donated to the City of Milwaukee by a real estate developer named James H. Rogers in 1847, making it one of the oldest parks in the city. The city soon changed the name to Franklin Park, the later renamed the park in honor of Scottish poet Robert Burns, to whom there is statue.[5]"
15,Butterfly Park,43.0624436,-87.959883,"N 37th St & W Meinecke Ave, Milwaukee, WI 53210",N 37th St & W Meinecke Ave,,Milwaukee,WI,53210,USA,"43.0624436, -87.959883",
16,Caesar's Park,43.0573984,-87.8941652,"1939 N Warren Ave, Milwaukee, WI 53202",1939 N Warren Ave,,Milwaukee,WI,53202,USA,"43.0573984, -87.8941652","Southern end of the ""east bank trail"" on the East Side, adjacent to the east bank of the Milwaukee River and the former North Avenue dam. Site was originally acquired by the City of Milwaukee Water Department in 1889 and was named Milwaukee River Dam Park. In 1929, it was transferred to the city's parks department and named Caesar's Park in honor of Caesar Paikowski.[6] In 1997, the city of Milwaukee removed the central section of the North Avenue dam, allowing the water to flow faster.[7]"
17,Cambridge Woods Park,43.07690648,-87.89209351,"Cambridge St, Milwaukee, WI 53211",Cambridge St,,Milwaukee,WI,53211,USA,"43.0769064840854, -87.8920935124088","Located in Milwaukee's East Side neighborhood, west of University of Wisconsin–Milwaukee, along the Milwaukee River."
18,Cannon Park,43.0324696,-88.0304584,"303 N 95th St, Milwaukee, WI 53226",303 N 95th St,,Milwaukee,WI,53226,USA,"43.0324696, -88.0304584",
19,Carver Park,43.05626757,-87.92385562,"911 W Brown St, Milwaukee, WI 53205",911 W Brown St,,Milwaukee,WI,53205,USA,"43.056267573797, -87.9238556248658","A portion of the current site has a history of park use which dates back to 1853. At that point in time, Quentin's Park, a private facility, occupied the site of what is now Roosevelt Middle School plus much of the southerly part of Carver Park. In 1879 this land was sold to the Joseph Schlitz Brewing Company and Schlitz Park (a popular beer garden) was created.[8] Through the 1940s, the park was called Lapham Park[9] and featured the Lapham Memorial."
20,Cathedral Square Park,43.0419604,-87.9049769,"520 E Wells St, Milwaukee, WI 53202",520 E Wells St,,Milwaukee,WI,53202,USA,"43.0419604, -87.9049769","The exact site of Milwaukee's second courthouse (1873–1931), as well as neighboring land to the first courthouse, which was just north of the park.[10] Next to St. John's Cathedral and location of ""Jazz in the Park,"" an outdoor summer concert series."
21,Center Street Park,43.0666197,-87.9928422,"6420 W Clarke St, Milwaukee, WI 53213",6420 W Clarke St,,Milwaukee,WI,53213,USA,"43.0666197, -87.9928422",
22,Chippewa Park,43.0318582,-88.0537673,"11500 W Park Hill Ave, Milwaukee, WI 53226",11500 W Park Hill Ave,,Milwaukee,WI,53226,USA,"43.0318582, -88.0537673",
23,Clarke Square Park,43.0204629,-87.9432454,"2330 W Vieau Pl, Milwaukee, WI 53204",2330 W Vieau Pl,,Milwaukee,WI,53204,USA,"43.0204629, -87.9432454","Donated in 1837 by Nathaniel Brown and Norman and Lydia Clarke, who at the time were real estate developers in the area.[8]"
24,Clas Park,43.0406343,-87.9238279,"930 W Wells St, Milwaukee, WI 53233",930 W Wells St,,Milwaukee,WI,53233,USA,"43.0406343, -87.9238279","Located adjacent to the south entrance of the Milwaukee County Courthouse. The Park Commission acquired the land (which had been a parking lot) from the County Board in 1967. A fountain was added during redevelopment of the space in the 1980s. The park was named after Alfred C. Clas, a prominent architect and planner who also served as a County Park Commissioner (1907–1917)[11]"
25,"Columbus, Indigenous Peoples' Park",43.1025751,-88.0034738,"7301 W Courtland Ave, Milwaukee, WI 53218",7301 W Courtland Ave,,Milwaukee,WI,53218,USA,"43.1025751, -88.0034738",
26,Cooper Park,43.0726334,-88.0215761,"8701 W Chambers St, Milwaukee, WI 53222",8701 W Chambers St,,Milwaukee,WI,53222,USA,"43.0726334, -88.0215761","Named for William H. Cooper who served as a member of the Milwaukee County Parks Commission from 1948 to 1955, the park contains a rental pavilion, softball diamonds, a play structure, and a wading pool. The Friends of Cooper Park partner with the county for park improvements, volunteer activities, and community events.[12]"
27,Copernicus Park,42.9433181,-87.9414457,"2150 W Klein Ave, Milwaukee, WI 53221",2150 W Klein Ave,,Milwaukee,WI,53221,USA,"42.9433181, -87.9414457",
28,Cudahy Park,42.9384187,-87.8727738,"3000 E Ramsey Ave, Cudahy, WI 53110",3000 E Ramsey Ave,,Cudahy,WI,53110,USA,"42.9384187, -87.8727738",
29,Cudahy Nature Preserve Park,42.926749,-87.903805,"501 E College Ave, Milwaukee, WI 53207",501 E College Ave,,Milwaukee,WI,53207,USA,"42.926749, -87.903805",
30,Cupertino Park,42.9970679,-87.8855268,"2000 E Iron St, Milwaukee, WI 53207",2000 E Iron St,,Milwaukee,WI,53207,USA,"42.9970679, -87.8855268","Named after County Supervisor Daniel Cupertino, this area was previously the northernmost portion of Southshore Park."
31,Currie Park,43.0884718,-88.0491455,"3535 N Mayfair Rd, Wauwatosa, WI 53222",3535 N Mayfair Rd,,Wauwatosa,WI,53222,USA,"43.0884718, -88.0491455",Golf course designed by George Hansen in 1927.
32,Dineen Park,43.0851197,-87.9953282,"6901 W Vienna Ave, Milwaukee, WI 53216",6901 W Vienna Ave,,Milwaukee,WI,53216,USA,"43.0851197, -87.9953282","Located on the northwest side of Milwaukee, the park land was first acquired in 1951, with major developments in the 1960s. Named in honor of Cornelius R. Dineen, Park Commissioner (1927–1955).[13]"
